"","0","1","logit"
"score1",0.713701431492842,0.286298568507157,-0.913429499593123
"score2",0.627811860940695,0.372188139059305,-0.522841060510402
"score3",0.570552147239264,0.429447852760736,-0.284104251103897
"score4",0.815950920245399,0.184049079754601,-1.4891517465596
"score5",0.860940695296524,0.139059304703476,-1.82312512850627
"score6",0.633946830265849,0.366053169734151,-0.549186491638437
"score7",0.838445807770961,0.161554192229039,-1.64670930723133
"score8",0.723926380368098,0.276073619631902,-0.964022134695345
"score9",0.7280163599182,0.2719836400818,-0.984581602630277
"score10",0.687116564417178,0.312883435582822,-0.786673238570769
"score11",0.752556237218814,0.247443762781186,-1.11229239257219
"score12",0.638036809815951,0.361963190184049,-0.566853455235653
"score13",0.822085889570552,0.177914110429448,-1.53054396996444
"score14",0.695296523517382,0.304703476482618,-0.824999311664748
"score15",0.81799591002045,0.18200408997955,-1.50282817737584
"score16",0.791411042944785,0.208588957055215,-1.33345187974551
"score17",0.770961145194274,0.229038854805726,-1.21374631615292
"score18",0.777096114519427,0.222903885480573,-1.24882337049129
"score19",0.697341513292434,0.302658486707566,-0.834670203519402
"score21",0.668711656441718,0.331288343558282,-0.702363835664869
"score22",0.67280163599182,0.32719836400818,-0.720883935531545
"score23",0.517382413087935,0.482617586912065,-0.0695576837019101
"score25",0.586912065439673,0.413087934560327,-0.351214518358416
"score26",0.775051124744376,0.224948875255624,-1.23705583929001
